id;name;description;price;size;image;image_content_type;recommended
1;Generic Steel Tuna;website calculating;57374;M;../fake-data/blob/hipster.png;image/png;Five
2;magenta Track;actuating THX;8294;XL;../fake-data/blob/hipster.png;image/png;Three
3;throughput;Union transmitting;27988;S;../fake-data/blob/hipster.png;image/png;Three
4;Ball Australian Dollar;Bike;6446;M;../fake-data/blob/hipster.png;image/png;Three
5;mobile distributed Dynamic;Sports Human New Mexico;94655;L;../fake-data/blob/hipster.png;image/png;Three
6;Prairie;Rubber CSS;96920;S;../fake-data/blob/hipster.png;image/png;Five
7;Checking Account methodical optical;Cheese rich multi-byte;80408;M;../fake-data/blob/hipster.png;image/png;One
8;AGP Implementation;wireless navigate grey;45572;XXL;../fake-data/blob/hipster.png;image/png;Two
9;Unbranded Steel Computer;Plastic convergence;98208;L;../fake-data/blob/hipster.png;image/png;Four
10;Arkansas clicks-and-mortar Checking Account;programming Martinique Industrial;8838;XL;../fake-data/blob/hipster.png;image/png;Two
